"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 23, 7, 33
"c:\xampp\htdocs\licor-house\resources\markdown\policy.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\xampp\htdocs\licor-house\resources\markdown\terms.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\xampp\htdocs\licor-house\resources\views\api\api-token-manager.blade.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 26, 170
"c:\xampp\htdocs\licor-house\resources\views\api\index.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\licor-house\resources\views\auth\confirm-password.blade.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\xampp\htdocs\licor-house\resources\views\auth\forgot-password.blade.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\xampp\htdocs\licor-house\resources\views\auth\login.blade.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 9, 49
"c:\xampp\htdocs\licor-house\resources\views\auth\register.blade.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 10, 79
"c:\xampp\htdocs\licor-house\resources\views\auth\reset-password.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 8, 37
"c:\xampp\htdocs\licor-house\resources\views\auth\two-factor-challenge.blade.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 10, 59
"c:\xampp\htdocs\licor-house\resources\views\auth\verify-email.blade.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\xampp\htdocs\licor-house\resources\views\categorias\create.blade.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 9, 39
"c:\xampp\htdocs\licor-house\resources\views\categorias\edit.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 8, 37
"c:\xampp\htdocs\licor-house\resources\views\categorias\index.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 6, 49
"c:\xampp\htdocs\licor-house\resources\views\client\compras.blade.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\licor-house\resources\views\client\detalleCompra.blade.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 8, 70
"c:\xampp\htdocs\licor-house\resources\views\client\principal.blade.php", "PHP", 0, 0, 41, 0, 0, 0, 2, 6, 49
